"Age Group","Sex","CensusYear","UNIT","VALUE"
"All ages","Female","2016","Number","2888"
"0 - 4 years","Female","2016","Number","386"
"5 - 9 years","Female","2016","Number","273"
"10 - 14 years","Female","2016","Number","174"
"15 - 19 years","Female","2016","Number","170"
"20 - 24 years","Female","2016","Number","335"
"25 - 29 years","Female","2016","Number","375"
"30 - 34 years","Female","2016","Number","297"
"35 - 39 years","Female","2016","Number","263"
"40 - 44 years","Female","2016","Number","198"
"45 - 49 years","Female","2016","Number","151"
"50 - 54 years","Female","2016","Number","86"
"55 - 59 years","Female","2016","Number","66"
"60 - 64 years","Female","2016","Number","48"
"65 - 69 years","Female","2016","Number","26"
"70 - 74 years","Female","2016","Number","13"
"75 - 79 years","Female","2016","Number","12"
"80 - 84 years","Female","2016","Number","4"
"85+","Female","2016","Number","11"